"x" "y"
"1" 0 -0.15620348315956
"2" 2 -0.00198275584104001
"3" 4 -0.121396723194456
"4" 6 -0.0871165341097634
"5" 8 -0.0212430315091317
"6" 10 0.0781131112220388
"7" 12 -0.167727017703679
"8" 14 -0.276901681204866
"9" 16 -0.199615822320527
"10" 18 0.27660685966752
"11" 20 0.100078487281638
"12" 22 0.314113336200429
"13" 24 0.0060485975538502
"14" 26 0.547294857303459
"15" 28 0.140098936365653
"16" 30 0.370748596005672
"17" 32 0.604683091554201
"18" 34 0.341778145611736
"19" 36 0.555019796449376
"20" 38 0.206780681469019
"21" 40 0.534554452182792
"22" 42 0.627583610296383
"23" 44 0.0584621122565715
"24" 46 0.496773765135594
"25" 48 0.208797292925059
"26" 50 0.199724025480779
"27" 52 0.59137588486905
"28" 54 0.362754459321947
"29" 56 0.458766697885387
"30" 58 0.524984696367918
"31" 60 0.715563786313198
"32" 62 0.462162745095467
"33" 64 0.448918766858124
"34" 66 0.535100762439503
"35" 68 0.605874768766229
"36" 70 0.499717982003846
"37" 72 0.940918398816294
"38" 74 0.785703277892539
"39" 76 1.0247559421018
"40" 78 0.719494410662231
"41" 80 0.928204320979109
"42" 82 0.548783766086078
"43" 84 0.746298391818336
"44" 86 0.70567816160626
"45" 88 0.611883893612751
"46" 90 0.673744769634114
"47" 92 0.668708491311608
"48" 94 0.65850791981086
"49" 96 0.754801833361397
"50" 98 0.852239334408118
"51" 100 0.602025741210781
